date,max_temp,mean_temp,min_temp
2016-8-6,75,70,65
2016-8-7,75,69,62
2016-8-8,81,69,57
2016-8-9,89,77,65
2016-8-10,92,81,70
2016-8-11,89,80,70
2016-8-12,84,72,60
2016-8-13,84,71,57
2016-8-14,85,72,58
2016-8-15,87,73,59
2016-8-16,88,77,66
2016-8-17,90,77,63
2016-8-18,94,78,62
2016-8-19,74,67,59
2016-8-20,76,63,49
2016-8-21,84,64,43
2016-8-22,88,76,63
2016-8-23,88,75,61
2016-8-24,78,66,53
2016-8-25,78,66,54
2016-8-26,74,62,50
2016-8-27,84,71,58
2016-8-28,89,75,61
2016-8-29,83,73,63
2016-8-30,81,71,61
2016-8-31,83,70,56
2016-9-1,82,66,49
2016-9-2,78,66,53
2016-9-3,74,68,62
2016-9-4,80,72,63
2016-9-5,91,77,63
2016-9-6,70,67,64
2016-9-7,81,73,64
2016-9-8,80,69,58
2016-9-9,75,64,52
2016-9-10,73,60,46
2016-9-11,83,68,53
2016-9-12,66,60,53
2016-9-13,62,56,50
2016-9-14,60,54,48
2016-9-15,77,68,58
2016-9-16,77,63,49
2016-9-17,82,62,43
2016-9-18,87,69,50
2016-9-19,83,67,50
2016-9-20,93,72,50
2016-9-21,84,75,65
2016-9-22,68,65,62
2016-9-23,89,76,62
2016-9-24,81,66,51
2016-9-25,70,54,38
2016-9-26,76,56,35
2016-9-27,83,62,40
2016-9-28,71,56,40
2016-9-29,69,52,34
2016-9-30,70,53,35
2016-10-1,75,58,41
2016-10-2,80,63,45
2016-10-3,79,67,54
2016-10-4,68,55,41
2016-10-5,72,54,35
2016-10-6,52,43,33
2016-10-7,65,46,27
2016-10-8,77,55,32
2016-10-9,79,57,34
2016-10-10,75,62,48
2016-10-11,58,49,40
2016-10-12,49,37,25
2016-10-13,62,44,25
2016-10-14,72,58,43
2016-10-15,79,61,42
2016-10-16,75,57,38
2016-10-17,82,61,39
2016-10-18,69,54,38
2016-10-19,61,49,37
2016-10-20,57,44,30
2016-10-21,69,48,26
2016-10-22,80,55,29
2016-10-23,68,51,33
2016-10-24,64,46,28
2016-10-25,71,58,44
2016-10-26,75,59,43
2016-10-27,84,61,38
2016-10-28,84,67,49
2016-10-29,64,53,42
2016-10-30,56,48,39
2016-10-31,77,63,48
2016-11-1,70,53,35
2016-11-2,72,53,34
2016-11-3,76,53,30
2016-11-4,76,53,30
2016-11-5,71,51,31
2016-11-6,70,56,42
2016-11-7,59,50,41
2016-11-8,60,45,30
2016-11-9,64,45,26
2016-11-10,75,52,28
2016-11-11,56,41,25
2016-11-12,57,41,24
2016-11-13,69,52,34
2016-11-14,65,48,30
2016-11-15,71,50,29
2016-11-16,73,51,29
2016-11-17,46,40,33
2016-11-18,33,27,20
2016-11-19,39,25,10
2016-11-20,48,36,24
2016-11-21,42,32,21
2016-11-22,41,39,37
2016-11-23,38,35,32
2016-11-24,39,33,26
2016-11-25,54,37,19
2016-11-26,59,39,19
2016-11-27,55,37,19
2016-11-28,53,42,31
2016-11-29,37,34,30
2016-11-30,32,29,25
2016-12-1,41,33,24
2016-12-2,43,29,15
2016-12-3,38,29,19
2016-12-4,52,36,20
2016-12-5,49,38,26
2016-12-6,32,24,15
2016-12-7,22,16,10
2016-12-8,23,10,-3
2016-12-9,21,9,-4
2016-12-10,31,22,12
2016-12-11,26,15,3
2016-12-12,51,27,2
2016-12-13,24,12,0
2016-12-14,24,13,1
2016-12-15,28,18,8
2016-12-16,24,16,8
2016-12-17,8,-6,-20
2016-12-18,24,-1,-26
2016-12-19,40,16,-8
2016-12-20,49,34,19
2016-12-21,48,34,20
2016-12-22,46,29,12
2016-12-23,48,29,9
2016-12-24,45,24,3
2016-12-25,50,37,23
2016-12-26,37,29,20
2016-12-27,48,29,10
2016-12-28,49,36,22
2016-12-29,44,30,16
2016-12-30,62,38,14
2016-12-31,40,30,19
